language,en-US,AAPL
trailingAnnualDividendRate,0.0,AMZN
trailingPE,48.788925,AMZN
trailingAnnualDividendYield,0.0,AMZN
epsTrailingTwelveMonths,64.81,AMZN
epsForward,72.3,AMZN
epsCurrentYear,48.24,AMZN
priceEpsCurrentYear,65.54747,AMZN
sharesOutstanding,508844000,AMZN
bookValue,271.601,AMZN
fiftyDayAverage,3223.1409,AMZN
fiftyDayAverageChange,-61.13086,AMZN
fiftyDayAverageChangePercent,-0.018966239,AMZN
twoHundredDayAverage,3358.6804,AMZN
twoHundredDayAverageChange,-196.67041,AMZN
twoHundredDayAverageChangePercent,-0.058555856,AMZN
marketCap,1608969879552,AMZN
forwardPE,43.734577,AMZN
priceToBook,11.642115,AMZN
sourceInterval,15,AMZN
exchangeDataDelayedBy,0,AMZN
pageViewGrowthWeekly,-0.7872558,AMZN
averageAnalystRating,1.7 - Buy,AMZN
tradeable,False,AMZN
exchange,NMS,AMZN
shortName,"Amazon.com, Inc.",AMZN
longName,"Amazon.com, Inc.",AMZN
messageBoardId,finmb_18749,AMZN
exchangeTimezoneName,America/New_York,AMZN
exchangeTimezoneShortName,EST,AMZN
gmtOffSetMilliseconds,-18000000,AMZN
market,us_market,AMZN
esgPopulated,False,AMZN
displayName,Amazon.com,AMZN
symbol,AMZN,AMZN
language,en-US,APT
region,US,APT
quoteType,EQUITY,APT
quoteSourceName,Delayed Quote,APT
triggerable,True,APT
currency,USD,APT
exchange,ASE,APT
shortName,"Alpha Pro Tech, Ltd.",APT
longName,"Alpha Pro Tech, Ltd.",APT
messageBoardId,finmb_381981,APT
exchangeTimezoneName,America/New_York,APT
exchangeTimezoneShortName,EST,APT
gmtOffSetMilliseconds,-18000000,APT
market,us_market,APT
esgPopulated,False,APT
fiftyTwoWeekRange,4.26 - 17.47,APT
fiftyTwoWeekHighChange,-12.939999,APT
fiftyTwoWeekHighChangePercent,-0.7406983,APT
fiftyTwoWeekLow,4.26,APT
fiftyTwoWeekHigh,17.47,APT
earningsTimestamp,1636016402,APT
earningsTimestampStart,1646650740,APT
earningsTimestampEnd,1647000000,APT
trailingAnnualDividendRate,0.0,APT
trailingPE,4.5850205,APT
trailingAnnualDividendYield,0.0,APT
epsTrailingTwelveMonths,0.988,APT
epsForward,1.16,APT
sharesOutstanding,13232400,APT
bookValue,4.766,APT
fiftyDayAverage,5.3386,APT
fiftyDayAverageChange,-0.80859995,APT
fiftyDayAverageChangePercent,-0.15146291,APT
twoHundredDayAverage,6.9859,APT
twoHundredDayAverageChange,-2.4558997,APT
twoHundredDayAverageChangePercent,-0.35155094,APT
marketCap,59942776,APT
forwardPE,3.9051728,APT
priceToBook,0.95048267,APT
sourceInterval,15,APT
exchangeDataDelayedBy,0,APT
pageViewGrowthWeekly,0.33618036,APT
averageAnalystRating,1.0 - Strong Buy,APT
tradeable,False,APT
marketState,POST,APT
firstTradeDateMilliseconds,919175400000,APT
priceHint,4,APT
regularMarketChange,0.0500002,APT
regularMarketChangePercent,1.11608,APT
regularMarketTime,1645045200,APT
regularMarketPrice,4.53,APT
regularMarketDayHigh,4.53,APT
regularMarketDayRange,4.3 - 4.53,APT
regularMarketDayLow,4.3,APT
regularMarketVolume,167503,APT
regularMarketPreviousClose,4.48,APT
bid,4.49,APT
ask,4.51,APT
bidSize,13,APT
askSize,8,APT
fullExchangeName,NYSE American,APT
financialCurrency,USD,APT
regularMarketOpen,4.45,APT
averageDailyVolume3Month,1082216,APT
averageDailyVolume10Day,120440,APT
fiftyTwoWeekLowChange,0.26999998,APT
fiftyTwoWeekLowChangePercent,0.06338027,APT
displayName,Alpha Pro Tech,APT
symbol,APT,APT
language,en-US,ATHM
region,US,ATHM
quoteType,EQUITY,ATHM
quoteSourceName,Nasdaq Real Time Price,ATHM
triggerable,True,ATHM
currency,USD,ATHM
postMarketChangePercent,0.0,ATHM
postMarketTime,1645049130,ATHM
postMarketPrice,29.25,ATHM
postMarketChange,0.0,ATHM
regularMarketChange,-0.74,ATHM
regularMarketChangePercent,-2.46749,ATHM
regularMarketTime,1645045202,ATHM
regularMarketPrice,29.25,ATHM
regularMarketDayHigh,29.61,ATHM
regularMarketDayRange,28.76 - 29.61,ATHM
regularMarketDayLow,28.76,ATHM
regularMarketVolume,517538,ATHM
regularMarketPreviousClose,29.99,ATHM
bid,28.5,ATHM
ask,29.12,ATHM
bidSize,11,ATHM
askSize,8,ATHM
fullExchangeName,NYSE,ATHM
financialCurrency,CNY,ATHM
regularMarketOpen,29.7,ATHM
averageDailyVolume3Month,907962,ATHM
averageDailyVolume10Day,575480,ATHM
fiftyTwoWeekLowChange,3.1499996,ATHM
fiftyTwoWeekLowChangePercent,0.12068964,ATHM
fiftyTwoWeekRange,26.1 - 140.44,ATHM
fiftyTwoWeekHighChange,-111.19,ATHM
fiftyTwoWeekHighChangePercent,-0.791726,ATHM
fiftyTwoWeekLow,26.1,ATHM
fiftyTwoWeekHigh,140.44,ATHM
dividendDate,1614902400,ATHM
earningsTimestamp,1645709400,ATHM
earningsTimestampStart,1645709400,ATHM
earningsTimestampEnd,1645709400,ATHM
trailingAnnualDividendRate,5.68,ATHM
trailingPE,7.56596,ATHM
trailingAnnualDividendYield,0.18939646,ATHM
epsTrailingTwelveMonths,3.866,ATHM
epsForward,2.56,ATHM
epsCurrentYear,3.17,ATHM
priceEpsCurrentYear,9.227129,ATHM
sharesOutstanding,124980000,ATHM
bookValue,178.442,ATHM
fiftyDayAverage,31.3478,ATHM
fiftyDayAverageChange,-2.0977993,ATHM
fiftyDayAverageChangePercent,-0.06692015,ATHM
twoHundredDayAverage,47.90045,ATHM
twoHundredDayAverageChange,-18.650452,ATHM
twoHundredDayAverageChangePercent,-0.38935858,ATHM
marketCap,3655664896,ATHM
forwardPE,11.425781,ATHM
priceToBook,0.16391881,ATHM
sourceInterval,15,ATHM
exchangeDataDelayedBy,0,ATHM
pageViewGrowthWeekly,-0.2536245,ATHM
averageAnalystRating,2.9 - Hold,ATHM
tradeable,False,ATHM
firstTradeDateMilliseconds,1386772200000,ATHM
priceHint,2,ATHM
marketState,POST,ATHM
exchange,NYQ,ATHM
shortName,Autohome Inc.,ATHM
longName,Autohome Inc.,ATHM
messageBoardId,finmb_46365772,ATHM
exchangeTimezoneName,America/New_York,ATHM
exchangeTimezoneShortName,EST,ATHM
gmtOffSetMilliseconds,-18000000,ATHM
market,us_market,ATHM
esgPopulated,False,ATHM
displayName,Autohome,ATHM
symbol,ATHM,ATHM
language,en-US,BABA
region,US,BABA
quoteType,EQUITY,BABA
quoteSourceName,Nasdaq Real Time Price,BABA
triggerable,True,BABA
currency,USD,BABA
fiftyTwoWeekHighChangePercent,-0.538918,BABA
fiftyTwoWeekLow,108.7,BABA
fiftyTwoWeekHigh,272.316,BABA
earningsTimestamp,1645709400,BABA
earningsTimestampStart,1645709400,BABA
earningsTimestampEnd,1645709400,BABA
trailingAnnualDividendRate,0.0,BABA
trailingPE,17.644743,BABA
trailingAnnualDividendYield,0.0,BABA
epsTrailingTwelveMonths,7.116,BABA
epsForward,9.17,BABA
epsCurrentYear,8.27,BABA
priceEpsCurrentYear,15.182587,BABA
sharesOutstanding,2710909952,BABA
bookValue,357.23,BABA
fiftyDayAverage,122.8922,BABA
fiftyDayAverageChange,2.667801,BABA
fiftyDayAverageChangePercent,0.021708464,BABA
twoHundredDayAverage,168.46346,BABA
